cluster_id,cluster_label,tickets,median_MTTR,work_note_pct,top_subcategory,top_group,pct_of_total,candidate_id
3,customer / activity / applicable / page / preset,668,122.9,95.5,Inquiry / Help,Academic Applications,47.8,st_Continuing_Medical_Education_Inquiry_/_Help
1,inbound action / micme survey / created micme / survey inbound / inbound,364,53.9,98.4,Inquiry / Help,Bus Team Continuing Medical Education,26.0,st_Continuing_Medical_Education_Inquiry_/_Help
-1,— noise —,270,77.7,60.4,Inquiry / Help,Academic Applications,19.3,st_Continuing_Medical_Education_Inquiry_/_Help
0,satisfaction survey / satisfaction / survey results / results / satisfied,52,66.5,100.0,Inquiry / Help,Academic Applications,3.7,st_Continuing_Medical_Education_Inquiry_/_Help
2,requests / add remove / activity coordinators / coordinators / remove,44,21.6,84.1,Inquiry / Help,Academic Applications,3.1,st_Continuing_Medical_Education_Inquiry_/_Help
3,device / contact / update / issue / laptop,1515,20.0,76.8,Move/Change/Add,Service Desk,75.8,st_Device_Support_Services_Move/Change/Add
0,windows / drive insufficient / space monthly / insufficient space / monthly,150,1.4,0.7,Move/Change/Add,MCD North,7.5,st_Device_Support_Services_Move/Change/Add
-1,— noise —,140,98.0,85.0,Move/Change/Add,MCD North,7.0,st_Device_Support_Services_Move/Change/Add
2,free / cleared / profiles / space / removed,110,22.1,94.5,Move/Change/Add,MCD North,5.5,st_Device_Support_Services_Move/Change/Add
1,survey / survey results / satisfaction survey / satisfaction / results,85,4.6,100.0,Move/Change/Add,Service Desk,4.2,st_Device_Support_Services_Move/Change/Add
3,add / order / pharmacy / shortage / update,125,190.7,26.4,Move/Change/Add,MiChart Med Use Informatics,34.2,st_Pharmacy_Management_Services_Move/Change/Add
-1,— noise —,67,216.0,22.4,Move/Change/Add,MiChart Med Use Informatics,18.4,st_Pharmacy_Management_Services_Move/Change/Add
1,erx build / build / build request / new erx / new,46,277.1,0.0,Move/Change/Add,MiChart Med Use Informatics,12.6,st_Pharmacy_Management_Services_Move/Change/Add
5,change request / change / erx change / erx / request,37,165.1,5.4,Move/Change/Add,MiChart Med Use Informatics,10.1,st_Pharmacy_Management_Services_Move/Change/Add
2,michart / incident / created / environment / activity,35,165.6,94.3,Move/Change/Add,MiChart Med Use Informatics,9.6,st_Pharmacy_Management_Services_Move/Change/Add
0,satisfied / survey / survey results / satisfaction / satisfaction survey,29,195.9,100.0,Move/Change/Add,MiChart Med Use Informatics,7.9,st_Pharmacy_Management_Services_Move/Change/Add
4,prl build / prl / erx prl / build / build request,26,579.2,7.7,Move/Change/Add,MiChart Med Use Informatics,7.1,st_Pharmacy_Management_Services_Move/Change/Add
2,device / issue / contact / room / support,1642,23.3,87.1,System Degraded,MCD North,82.1,st_Device_Support_Services_System_Degraded
1,printer / prt / print / printing / device prt,135,25.1,87.4,System Degraded,MCD North,6.8,st_Device_Support_Services_System_Degraded
0,bcma / scanner / barcode / medication / support barcode,127,1.2,93.7,System Degraded,MCD North,6.4,st_Device_Support_Services_System_Degraded
-1,— noise —,96,1.9,93.8,System Degraded,MCD North,4.8,st_Device_Support_Services_System_Degraded
-1,— noise —,147,290.7,72.8,Inquiry / Help,MiChart Reporting,49.0,st_Reporting_Inquiry_/_Help
1,report / team / request / michart / reporting,128,284.0,87.5,Inquiry / Help,MiChart Reporting,42.7,st_Reporting_Inquiry_/_Help
0,michart / report / michart report / reporting / michart reporting,25,45.2,32.0,Inquiry / Help,MiChart Reporting,8.3,st_Reporting_Inquiry_/_Help
1,created / similar / created similar / incident / similar incident,368,95.1,68.2,Move/Change/Add,SQL Server Services,91.1,st_Database_Services_Move/Change/Add
0,approved / neema mathew / mathew / neema / mathew approved,36,63.8,100.0,Move/Change/Add,SQL Server Services,8.9,st_Database_Services_Move/Change/Add
